,word,occurrences,percentile,pinyin,definition,back
2083,诶,4099,0.9942970990048912,āi,sigh (to express regret),<b>āi</b><br/>sigh (to express regret)
1000,赶紧,4091,0.9942865575982459,gǎnjǐn,hurriedly<br/>without delay,<b>gǎnjǐn</b><br/>hurriedly<br/>without delay
1764,呐,4086,0.9942760161916006,nè,sentence-final particle (abbr. for 呢啊[ne5 a5] or variant of 哪[na5]),<b>nè</b><br/>sentence-final particle (abbr. for 呢啊[ne5 a5] or variant of 哪[na5])
2888,翻,4082,0.9942602040816326,fān,variant of 翻[fan1],<b>fān</b><br/>variant of 翻[fan1]
1017,养,4082,0.9942602040816326,yǎng,to raise (animals)<br/>to bring up (children)<br/>to keep (pets)<br/>to support<br/>to give birth,<b>yǎng</b><br/>to raise (animals)<br/>to bring up (children)<br/>to keep (pets)<br/>to support<br/>to give birth
1015,最好,4081,0.9942443919716647,zùihǎo,best<br/>(you) had better (do what we suggest),<b>zùihǎo</b><br/>best<br/>(you) had better (do what we suggest)
2548,那里,4078,0.9942338505650195,nàlǐ,there<br/>that place,<b>nàlǐ</b><br/>there<br/>that place
2169,性,4075,0.9942233091583741,xìng,"nature<br/>character<br/>property<br/>quality<br/>attribute<br/>sexuality<br/>sex<br/>gender<br/>suffix forming adjective from verb<br/>suffix forming noun from adjective, corresponding to -ness or -ity<br/>essence<br/>CL:個|个[ge4]","<b>xìng</b><br/>nature<br/>character<br/>property<br/>quality<br/>attribute<br/>sexuality<br/>sex<br/>gender<br/>suffix forming adjective from verb<br/>suffix forming noun from adjective, corresponding to -ness or -ity<br/>essence<br/>CL:個|个[ge4]"
1602,老公,4073,0.9942127677517288,lǎogōng,(coll.) eunuch<br/>see also 老公[lao3 gong1],<b>lǎogōng</b><br/>(coll.) eunuch<br/>see also 老公[lao3 gong1]
940,活,4069,0.9942022263450835,huó,to live<br/>alive<br/>living<br/>work<br/>workmanship,<b>huó</b><br/>to live<br/>alive<br/>living<br/>work<br/>workmanship
1021,各种,4055,0.9941916849384382,gèzhǒng,every kind of<br/>all kinds of<br/>various kinds,<b>gèzhǒng</b><br/>every kind of<br/>all kinds of<br/>various kinds
504,适合,4045,0.9941758728284702,shìhé,to fit<br/>to suit,<b>shìhé</b><br/>to fit<br/>to suit
1567,左,4045,0.9941758728284702,zuǒ,left<br/>the Left (politics)<br/>east<br/>unorthodox<br/>queer<br/>wrong<br/>differing<br/>opposite<br/>variant of 佐[zuo3],<b>zuǒ</b><br/>left<br/>the Left (politics)<br/>east<br/>unorthodox<br/>queer<br/>wrong<br/>differing<br/>opposite<br/>variant of 佐[zuo3]
1215,忘,4023,0.9941600607185023,wàng,to forget<br/>to overlook<br/>to neglect,<b>wàng</b><br/>to forget<br/>to overlook<br/>to neglect
424,字,4016,0.994149519311857,zì,letter<br/>symbol<br/>character<br/>word<br/>CL:個|个[ge4]<br/>courtesy or style name traditionally given to males aged 20 in dynastic China,<b>zì</b><br/>letter<br/>symbol<br/>character<br/>word<br/>CL:個|个[ge4]<br/>courtesy or style name traditionally given to males aged 20 in dynastic China
1682,手,3993,0.9941389779052117,shǒu,"hand<br/>(formal) to hold<br/>person engaged in certain types of work<br/>person skilled in certain types of work<br/>personal(ly)<br/>convenient<br/>classifier for skill<br/>CL:雙|双[shuang1],隻|只[zhi1]","<b>shǒu</b><br/>hand<br/>(formal) to hold<br/>person engaged in certain types of work<br/>person skilled in certain types of work<br/>personal(ly)<br/>convenient<br/>classifier for skill<br/>CL:雙|双[shuang1],隻|只[zhi1]"
2856,如此,3980,0.9941284364985664,rúcǐ,in this way<br/>so,<b>rúcǐ</b><br/>in this way<br/>so
1505,屁,3977,0.9941178950919211,pì,fart<br/>flatulence<br/>nonsense<br/>(usu. in the negative) what<br/>(not) a damn thing,<b>pì</b><br/>fart<br/>flatulence<br/>nonsense<br/>(usu. in the negative) what<br/>(not) a damn thing
3587,衣服,3976,0.9941073536852758,yīfú,"clothes<br/>CL:件[jian4],套[tao4]","<b>yīfú</b><br/>clothes<br/>CL:件[jian4],套[tao4]"
858,如何,3974,0.9940968122786304,rúhé,how<br/>what way<br/>what,<b>rúhé</b><br/>how<br/>what way<br/>what
557,老板,3972,0.9940862708719852,lǎobǎn,boss<br/>business proprietor<br/>CL:個|个[ge4],<b>lǎobǎn</b><br/>boss<br/>business proprietor<br/>CL:個|个[ge4]
928,不然,3968,0.9940757294653398,bùrán,not so<br/>no<br/>or else<br/>otherwise<br/>if not<br/>How about ...?,<b>bùrán</b><br/>not so<br/>no<br/>or else<br/>otherwise<br/>if not<br/>How about ...?
499,找到,3956,0.9940651880586946,zhǎodào,to find,<b>zhǎodào</b><br/>to find
1225,惨,3938,0.9940546466520492,cǎn,miserable<br/>wretched<br/>cruel<br/>inhuman<br/>disastrous<br/>tragic<br/>dim<br/>gloomy,<b>cǎn</b><br/>miserable<br/>wretched<br/>cruel<br/>inhuman<br/>disastrous<br/>tragic<br/>dim<br/>gloomy
247,说话,3929,0.994044105245404,shuōhuà,to speak<br/>to say<br/>to talk<br/>to gossip<br/>to tell stories<br/>talk<br/>word,<b>shuōhuà</b><br/>to speak<br/>to say<br/>to talk<br/>to gossip<br/>to tell stories<br/>talk<br/>word
1008,整,3920,0.9940335638387586,zhěng,exactly<br/>in good order<br/>whole<br/>complete<br/>entire<br/>in order<br/>orderly<br/>to repair<br/>to mend<br/>to renovate<br/>(coll.) to fix sb<br/>to give sb a hard time<br/>to mess with sb,<b>zhěng</b><br/>exactly<br/>in good order<br/>whole<br/>complete<br/>entire<br/>in order<br/>orderly<br/>to repair<br/>to mend<br/>to renovate<br/>(coll.) to fix sb<br/>to give sb a hard time<br/>to mess with sb
2582,抢,3919,0.9940230224321134,qiǎng,to fight over<br/>to rush<br/>to scramble<br/>to grab<br/>to rob<br/>to snatch,<b>qiǎng</b><br/>to fight over<br/>to rush<br/>to scramble<br/>to grab<br/>to rob<br/>to snatch
2674,类,3916,0.994012481025468,lèi,kind<br/>type<br/>class<br/>category<br/>similar<br/>like<br/>to resemble,<b>lèi</b><br/>kind<br/>type<br/>class<br/>category<br/>similar<br/>like<br/>to resemble
1940,坑,3909,0.9940019396188228,kēng,variant of 坑[keng1]<br/>pit<br/>hole,<b>kēng</b><br/>variant of 坑[keng1]<br/>pit<br/>hole
2972,肥,3907,0.9939913982121774,féi,fat<br/>fertile<br/>loose-fitting or large<br/>to fertilize<br/>to become rich by illegal means<br/>fertilizer<br/>manure,<b>féi</b><br/>fat<br/>fertile<br/>loose-fitting or large<br/>to fertilize<br/>to become rich by illegal means<br/>fertilizer<br/>manure
470,向,3905,0.9939808568055322,xiàng,variant of 向[xiang4]<br/>direction<br/>orientation<br/>to face<br/>to turn toward<br/>to<br/>towards<br/>shortly before<br/>formerly,<b>xiàng</b><br/>variant of 向[xiang4]<br/>direction<br/>orientation<br/>to face<br/>to turn toward<br/>to<br/>towards<br/>shortly before<br/>formerly
2222,悲剧,3900,0.9939703153988868,bēijù,tragedy<br/>CL:出[chu1],<b>bēijù</b><br/>tragedy<br/>CL:出[chu1]
2201,部,3892,0.9939597739922416,bù,"ministry<br/>department<br/>section<br/>part<br/>division<br/>troops<br/>board<br/>classifier for works of literature, films, machines etc","<b>bù</b><br/>ministry<br/>department<br/>section<br/>part<br/>division<br/>troops<br/>board<br/>classifier for works of literature, films, machines etc"
1442,看见,3885,0.9939492325855962,kànjiàn,to see<br/>to catch sight of,<b>kànjiàn</b><br/>to see<br/>to catch sight of
